TrialEndTime,StimulusOnsetTime,StimulusOffsetTime,Stimulus,KeysPressed,FeltCorrectly,RT1_seconds,RT2_seconds,RT3_seconds,Keypress1_Timestamp,Keypress2_Timestamp,Keypress3_Timestamp
2026-01-15 18:29:30.133024,2026-01-15 18:29:28.315220,2026-01-15 18:29:29.132259,AH,"3,2",YES,1.052,1.072,,2026-01-15 18:29:29.367258,2026-01-15 18:29:29.386958,
2026-01-15 18:29:36.868258,2026-01-15 18:29:35.055871,2026-01-15 18:29:35.872014,AH,"2,3",YES,1.054,1.056,,2026-01-15 18:29:36.109852,2026-01-15 18:29:36.111531,
2026-01-15 18:29:46.186038,2026-01-15 18:29:44.515785,2026-01-15 18:29:45.185342,A,2,YES,0.725,,,2026-01-15 18:29:45.241159,,
2026-01-15 18:29:56.439362,2026-01-15 18:29:54.630157,2026-01-15 18:29:55.438620,AH,"2,3",YES,0.894,0.894,,2026-01-15 18:29:55.523711,2026-01-15 18:29:55.523853,
2026-01-15 18:30:04.529560,2026-01-15 18:30:02.875222,2026-01-15 18:30:03.528812,A,2,YES,0.943,,,2026-01-15 18:30:03.818055,,
2026-01-15 18:30:12.052449,2026-01-15 18:30:10.534332,2026-01-15 18:30:11.048869,V,1,YES,0.688,,,2026-01-15 18:30:11.222751,,
2026-01-15 18:30:20.401140,2026-01-15 18:30:18.741760,2026-01-15 18:30:19.400206,VA,"2,1",YES,0.831,0.831,,2026-01-15 18:30:19.572823,2026-01-15 18:30:19.572961,
2026-01-15 18:30:29.462361,2026-01-15 18:30:27.940183,2026-01-15 18:30:28.461265,V,1,YES,0.574,,,2026-01-15 18:30:28.514639,,
2026-01-15 18:30:37.226183,2026-01-15 18:30:35.416466,2026-01-15 18:30:36.226071,AH,"3,2",YES,0.992,0.995,,2026-01-15 18:30:36.408259,2026-01-15 18:30:36.411169,
2026-01-15 18:30:46.539187,2026-01-15 18:30:44.878550,2026-01-15 18:30:45.538467,H,3,YES,0.751,,,2026-01-15 18:30:45.629898,,
2026-01-15 18:30:54.441716,2026-01-15 18:30:52.778977,2026-01-15 18:30:53.440960,VA,"1,2",YES,1.185,1.187,,2026-01-15 18:30:53.964084,2026-01-15 18:30:53.966101,
